# m [GeV], BG [GeV^{−2}],  BGq [GeV^{−2}], smearingWidth, Qsg2muRatio, dqMin [fm]
0.204, 4.484, 0.321, 0.607, 0.786, 0.096
0.309, 4.947, 0.442, 0.594, 0.706, 0.148
0.183, 4.217, 0.159, 0.537, 0.799, 0.389
0.204, 4.484, 0.321, 0.607, 0.786, 0.096
0.159, 4.485, 0.216, 0.56, 0.808, 0.226
0.317, 5.023, 0.475, 0.423, 0.676, 0.088
0.279, 3.38, 0.304, 0.745, 0.761, 0.452
0.273, 3.525, 0.293, 0.664, 0.767, 0.464
0.33, 4.527, 0.586, 0.607, 0.692, 0.127
0.228, 4.291, 0.161, 0.543, 0.783, 0.288
0.369, 4.006, 0.47, 0.647, 0.686, 0.42
0.259, 3.663, 0.289, 0.659, 0.785, 0.44
0.193, 4.313, 0.336, 0.583, 0.765, 0.062
0.274, 5.021, 0.168, 0.446, 0.741, 0.325
0.121, 4.461, 0.208, 0.584, 0.824, 0.333
0.118, 4.558, 0.19, 0.558, 0.826, 0.255
0.198, 5.692, 0.361, 0.526, 0.74, 0.033
0.261, 4.758, 0.419, 0.574, 0.736, 0.412
0.157, 3.857, 0.31, 0.701, 0.793, 0.161
0.328, 4.362, 0.393, 0.66, 0.702, 0.405
0.144, 4.395, 0.134, 0.53, 0.81, 0.367
0.167, 4.559, 0.165, 0.511, 0.81, 0.276
0.137, 3.903, 0.399, 0.547, 0.808, 0.212
0.327, 4.762, 0.585, 0.578, 0.692, 0.028
0.265, 3.912, 0.295, 0.745, 0.769, 0.034
0.222, 4.296, 0.361, 0.617, 0.775, 0.252
0.141, 4.57, 0.168, 0.654, 0.823, 0.087
0.174, 4.267, 0.174, 0.621, 0.805, 0.495
0.213, 5.289, 0.365, 0.53, 0.737, 0.139
0.303, 4.573, 0.459, 0.561, 0.705, 0.495
0.274, 4.987, 0.218, 0.415, 0.723, 0.306
0.515, 4.438, 0.714, 0.586, 0.604, 0.33
0.231, 4.953, 0.354, 0.647, 0.732, 0.226
0.217, 4.531, 0.353, 0.476, 0.74, 0.46
