# m [GeV], BG [GeV^{-2}], BGq [GeV^{-2}], smearingWidth, Nq, Qsg2muRatio, dqMin [fm]
0.732, 3.92, 0.479, 0.889, 8.329, 0.515, 0.288
1.147, 3.674, 0.795, 0.841, 8.541, 0.413, 0.432
0.163, 3.615, 0.148, 0.838, 5.385, 0.82, 0.242
1.251, 4.093, 0.804, 0.776, 6.438, 0.396, 0.224
0.983, 4.102, 0.718, 1.064, 9.942, 0.465, 0.291
1.696, 4.135, 0.84, 0.79, 8.398, 0.319, 0.361
0.307, 3.858, 0.578, 0.625, 3.198, 0.713, 0.327
1.43, 3.6, 0.679, 1.047, 9.677, 0.366, 0.453
0.089, 8.439, 0.243, 0.263, 1.81, 0.889, 0.047
0.967, 4.636, 0.719, 0.852, 7.703, 0.444, 0.243
0.859, 3.801, 0.764, 0.851, 7.067, 0.476, 0.105
0.328, 3.247, 0.349, 0.71, 5.154, 0.701, 0.002
0.936, 4.502, 0.793, 0.859, 7.368, 0.436, 0.091
0.497, 3.557, 0.537, 0.937, 7.148, 0.587, 0.483
0.789, 2.937, 0.459, 0.914, 7.048, 0.534, 0.484
0.122, 9.516, 0.366, 0.322, 1.411, 0.83, 0.03
0.318, 3.366, 0.394, 0.553, 2.712, 0.743, 0.158
1.618, 4.55, 0.858, 1.039, 9.544, 0.333, 0.469
0.467, 3.61, 0.433, 0.724, 4.488, 0.657, 0.367
1.121, 4.091, 0.855, 0.954, 9.393, 0.411, 0.229
1.18, 3.918, 0.828, 0.9, 9.436, 0.394, 0.423
0.093, 6.684, 0.128, 0.432, 1.776, 0.86, 0.143
0.621, 4.339, 0.684, 0.812, 5.157, 0.542, 0.07
0.48, 3.362, 0.313, 1.123, 9.738, 0.64, 0.458
1.865, 4.234, 0.898, 0.752, 8.321, 0.286, 0.358
0.654, 3.781, 0.69, 0.954, 9.514, 0.515, 0.293
0.283, 5.03, 0.517, 0.503, 2.266, 0.743, 0.356
0.644, 4.407, 0.335, 0.984, 9.678, 0.527, 0.495
0.505, 3.101, 0.353, 0.962, 8.715, 0.606, 0.462
0.315, 4.024, 0.589, 0.411, 2.539, 0.686, 0.376
0.692, 4.355, 0.452, 0.768, 6.557, 0.497, 0.45
1.5, 3.237, 0.886, 0.933, 7.05, 0.358, 0.428
1.347, 3.755, 0.702, 0.998, 9.81, 0.368, 0.458
0.215, 4.018, 0.115, 0.655, 4.292, 0.766, 0.151
0.525, 4.471, 0.603, 0.679, 5.095, 0.561, 0.369
1.821, 4.133, 0.839, 0.945, 9.191, 0.305, 0.479
0.35, 3.976, 0.501, 0.751, 4.722, 0.692, 0.177
0.611, 3.222, 0.478, 0.97, 8.078, 0.57, 0.468
0.096, 9.084, 0.268, 0.462, 1.302, 0.924, 0.275
0.422, 4.586, 0.566, 0.725, 4.818, 0.643, 0.142
0.584, 3.501, 0.448, 1.044, 9.383, 0.579, 0.489
0.361, 4.179, 0.287, 0.738, 4.269, 0.683, 0.061
0.495, 4.199, 0.545, 0.555, 4.175, 0.6, 0.476
