# m [GeV], BG [GeV^{−2}],  BGq [GeV^{−2}], smearingWidth, Qsg2muRatio, dqMin [fm]
0.068, 3.911, 0.349, 0.72, 0.616, 0.143
0.089, 4.241, 0.327, 0.508, 0.598, 0.122
0.077, 3.76, 0.295, 0.596, 0.616, 0.279
0.081, 4.479, 0.297, 0.472, 0.58, 0.292
0.105, 4.113, 0.19, 0.606, 0.596, 0.481
0.102, 3.441, 0.288, 0.617, 0.6, 0.467
0.083, 3.705, 0.192, 0.558, 0.604, 0.366
0.05, 3.627, 0.149, 0.587, 0.614, 0.287
0.146, 3.672, 0.25, 0.644, 0.609, 0.412
0.087, 3.545, 0.222, 0.678, 0.605, 0.436
0.065, 4.417, 0.217, 0.454, 0.618, 0.2
0.09, 3.388, 0.423, 0.675, 0.605, 0.086
0.119, 3.96, 0.415, 0.499, 0.578, 0.396
0.082, 3.786, 0.307, 0.578, 0.606, 0.295
0.186, 3.877, 0.501, 0.53, 0.549, 0.207
0.109, 4.434, 0.342, 0.659, 0.596, 0.162
0.187, 3.819, 0.642, 0.576, 0.56, 0.23
0.062, 3.963, 0.274, 0.47, 0.622, 0.109
0.069, 3.511, 0.275, 0.708, 0.631, 0.163
0.139, 3.898, 0.396, 0.583, 0.594, 0.373
0.132, 3.918, 0.452, 0.652, 0.591, 0.091
0.086, 4.056, 0.298, 0.592, 0.586, 0.272
0.183, 3.892, 0.412, 0.546, 0.568, 0.235
0.122, 4.21, 0.547, 0.522, 0.585, 0.126
0.064, 3.726, 0.226, 0.627, 0.614, 0.318
0.067, 3.575, 0.434, 0.467, 0.579, 0.207
0.111, 3.838, 0.3, 0.6, 0.599, 0.32
0.104, 3.821, 0.27, 0.514, 0.584, 0.368
0.072, 3.751, 0.221, 0.374, 0.614, 0.127
0.088, 3.415, 0.13, 0.53, 0.642, 0.437
0.091, 3.791, 0.233, 0.465, 0.635, 0.292
0.184, 3.294, 0.599, 0.502, 0.549, 0.333
0.128, 3.117, 0.388, 0.633, 0.586, 0.487
0.11, 4.555, 0.151, 0.494, 0.587, 0.258
0.068, 4.193, 0.262, 0.455, 0.623, 0.023
0.127, 3.749, 0.295, 0.515, 0.583, 0.496
0.091, 3.602, 0.36, 0.554, 0.628, 0.264
0.092, 4.187, 0.243, 0.462, 0.594, 0.162
